state,avg_income,, --Median Income and Food Accessibility
Oklahoma,63767.07506,, --Low access flag is true
North Carolina,71581.41137,,
Colorado,87735.47325,,
Mississippi,53411.5467,,
Florida,73353.68339,,
Vermont,76840.43243,,
Delaware,85034.39394,,
Nevada,78730.39076,,
Louisiana,58511.28274,,
New York,102787.9551,,
West Virginia,61540.84706,,
South Carolina,65532.50201,,
New Jersey,119375.4833,,
New Mexico,60371.70588,,
Hawaii,99611.2314,,
Arkansas,56104.6573,,
Missouri,71530.08039,,
Connecticut,117590.5079,,
South Dakota,69791.90323,,
District of Columbia,96413.53333,,
Iowa,74616.80547,,
Indiana,68449.13177,,
Massachusetts,116540.6898,,
Rhode Island,99403.73684,,
Ohio,74856.89623,,
Michigan,77919.76602,,
Minnesota,90986.6541,,
Pennsylvania,89841.34121,,
Washington,92664.8209,,
Wisconsin,79042.28927,,
Montana,67453.576,,
Kentucky,68488.98128,,
Arizona,74152.01049,,
Illinois,87357.54651,,
Virginia,98549.19182,,
Maryland,116176.1069,,
Georgia,72762.01955,,
Wyoming,78922.5625,,
Utah,84696.38372,,
New Hampshire,95435.87603,,
North Dakota,83593.94393,,
Nebraska,76702.80435,,
Maine,72935.25,,
California,103250.811,,
Tennessee,68453.02308,,
Kansas,71235.47745,,
Texas,74311.80309,,
Oregon,76336.93426,,
Idaho,67764.99338,,
Alaska,85594.03614,,
Alabama,60745.2621,,
